stationid,longitude,latitude,eveningendpct,eveningstartpct,morningendpct,morningstartpct
161,-0.141334,51.492345,0.000516386,0.000342683,0.000200972,0.000398079
162,-0.121328,51.517606,0.000597977,0.001196169,0.001084733,0.000272042
163,-0.167894,51.493184,0.000588959,0.001012804,0.000896859,0.000392496
164,-0.183118,51.515607,0.00049878,0.000270539,0.000158673,0.000627823
165,-0.183716,51.517932,0.000201616,0.000165329,0.000118737,0.000275263
166,-0.159237,51.501855,0.00061859,0.000896429,0.000574144,0.000108645
167,-0.147624,51.49395,0.001471432,0.001262301,0.001387694,0.001632897
168,-0.195455,51.500401,0.00038627,0.000457555,0.000231676,0.00020269
169,-0.165164,51.514746,0.00110234,0.000915324,0.000471511,0.000842966
170,-0.108068,51.527842,0.000332377,0.000587242,0.000406453,0.000732817
171,-0.186753,51.491615,0.000442739,0.000316058,0.000176495,0.000403232
172,-0.173715,51.491211,0.000318206,0.000664109,0.000715855,0.000194745
173,-0.113001,51.50486,0.001177489,0.000534422,0.000436298,0.00103857
174,-0.115163,51.512529,0.000597119,0.001615934,0.00136794,8.13765E-05
175,-0.081118,51.521743,0.000652729,0.001559035,0.001555385,0.000415256
176,-0.188098,51.517919,0.000504362,0.00030339,0.000126252,0.000514024
177,-0.140947,51.49616,0.002098396,0.001734671,0.001934569,0.002019596
178,-0.141923,51.489856,0.000776404,0.000371455,0.000111436,0.000850481
180,-0.153645,51.512911,0.000516601,0.000942378,0.00067098,0.000180789
181,-0.152317,51.499412,0.000343542,0.000597763,0.000578868,0.000249927
182,-0.165842,51.522029,0.000846186,0.000638344,0.000564267,0.000930139
183,-0.136123,51.482362,0.000752356,0.000460775,0.000207628,0.000745056
184,-0.145211,51.520715,0.000478167,0.001184575,0.001135191,0.000451328
185,-0.140741,51.488057,0.000842751,0.000572641,0.000243915,0.000736468
186,-0.17581,51.517335,0.001614217,0.001073997,0.000800882,0.001320274
187,-0.178433,51.492479,0.000665397,0.000535925,0.00043823,0.000339462
188,-0.164393,51.516517,0.000590248,0.000459487,0.000155882,0.000385626
189,-0.109914,51.531666,0.000327009,0.000464426,0.00023275,0.000485897
190,-0.132845,51.489975,0.000995412,0.000698034,0.000546231,0.000946887
191,-0.15352,51.503117,0.003521518,0.004013856,0.001460482,0.000846401
192,-0.133201,51.512515,0.001298588,0.001499774,0.000848333,0.000218364
193,-0.100186,51.505817,0.000842107,0.002272099,0.00256368,0.000435654
194,-0.091773,51.504627,0.00349339,0.002695944,0.002908725,0.001700317
195,-0.106237,51.507244,0.001203255,0.002071557,0.001962053,0.000957193
196,-0.098497,51.503688,0.000507798,0.000722297,0.000689445,0.000488044
197,-0.111606,51.505569,0.001596396,0.000709843,0.000586383,0.001081942
199,-0.082989,51.510484,0.001419686,0.002326422,0.002626591,0.001216353
200,-0.066078,51.514924,0.000741191,0.000534422,0.000234467,0.000535281
201,-0.161113,51.522596,0.000941949,0.000475376,0.000353633,0.000786496
202,-0.069542,51.512363,0.001436005,0.001849113,0.001832151,0.001418183
203,-0.100791,51.518218,0.001213991,0.001860064,0.001928557,0.000982959
204,-0.112432,51.526599,0.000484179,0.000533993,0.000420624,0.000613222
206,-0.062697,51.518154,0.00092241,0.000914036,0.000652085,0.000527337
207,-0.153194,51.501352,0.000199684,0.000347407,0.000263883,6.93525E-05
208,-0.166304,51.525051,0.000229529,0.000137202,2.98452E-05,0.000255294
209,-0.165101,51.493583,0.000267318,0.000362222,0.000313911,0.000255939
210,-0.151926,51.516814,0.0004947,0.000966641,0.000991977,0.000291581
