Product Category,Units,Week Ending,Geography,Type,ASP
PLU 4225,589107.51,2/6/2022,California,Conventional,1.416634265
PLU 4770,140306.39,2/6/2022,California,Conventional,1.416634265
Bulk GTIN,2322613.35,2/6/2022,California,Conventional,1.416634265
Bagged,1444134.6,2/6/2022,California,Conventional,1.416634265
PLU 4046,1399747.05,2/6/2022,California,Conventional,1.416634265
PLU 4225,697109.06,1/30/2022,California,Conventional,1.297938551
PLU 4770,201501.32,1/30/2022,California,Conventional,1.297938551
Bulk GTIN,2777163.55,1/30/2022,California,Conventional,1.297938551
Bagged,1414195.71,1/30/2022,California,Conventional,1.297938551
PLU 4046,1563454.6,1/30/2022,California,Conventional,1.297938551
PLU 4225,363211.78,2/20/2022,Great Lakes,Conventional,1.246402122
PLU 4770,126966.79,2/20/2022,Great Lakes,Conventional,1.246402122
Bulk GTIN,1437717.46,2/20/2022,Great Lakes,Conventional,1.246402122
Bagged,865585.49,2/20/2022,Great Lakes,Conventional,1.246402122
PLU 4046,1212707.27,2/20/2022,Great Lakes,Conventional,1.246402122
PLU 4225,697384.85,2/13/2022,Great Lakes,Conventional,1.171541825
PLU 4770,349862.1,2/13/2022,Great Lakes,Conventional,1.171541825
Bulk GTIN,2308827.96,2/13/2022,Great Lakes,Conventional,1.171541825
Bagged,872990.77,2/13/2022,Great Lakes,Conventional,1.171541825
PLU 4046,1729057.52,2/13/2022,Great Lakes,Conventional,1.171541825
PLU 4225,360792.97,2/6/2022,Great Lakes,Conventional,1.181169375
PLU 4770,132141.94,2/6/2022,Great Lakes,Conventional,1.181169375
Bulk GTIN,1482687.41,2/6/2022,Great Lakes,Conventional,1.181169375
Bagged,1111669.92,2/6/2022,Great Lakes,Conventional,1.181169375
PLU 4046,1087139.82,2/6/2022,Great Lakes,Conventional,1.181169375
PLU 4225,447464.63,1/30/2022,Great Lakes,Conventional,1.083074346
PLU 4770,126497.27,1/30/2022,Great Lakes,Conventional,1.083074346
Bulk GTIN,1823698.24,1/30/2022,Great Lakes,Conventional,1.083074346
Bagged,858079.63,1/30/2022,Great Lakes,Conventional,1.083074346
PLU 4046,1323055.69,1/30/2022,Great Lakes,Conventional,1.083074346
PLU 4225,496935.11,2/20/2022,Midsouth,Conventional,1.230383905
PLU 4770,10989.3,2/20/2022,Midsouth,Conventional,1.230383905
Bulk GTIN,833924.56,2/20/2022,Midsouth,Conventional,1.230383905
Bagged,1391125.06,2/20/2022,Midsouth,Conventional,1.230383905
PLU 4046,1528409.94,2/20/2022,Midsouth,Conventional,1.230383905
PLU 4225,604642.17,2/13/2022,Midsouth,Conventional,1.207536511
PLU 4770,12941.6,2/13/2022,Midsouth,Conventional,1.207536511
Bulk GTIN,927745.4,2/13/2022,Midsouth,Conventional,1.207536511
Bagged,1358446.7,2/13/2022,Midsouth,Conventional,1.207536511
PLU 4046,1864395.96,2/13/2022,Midsouth,Conventional,1.207536511
PLU 4225,501258.9,2/6/2022,Midsouth,Conventional,1.296830581
PLU 4770,12395.39,2/6/2022,Midsouth,Conventional,1.296830581
Bulk GTIN,713149.81,2/6/2022,Midsouth,Conventional,1.296830581
Bagged,1371688.05,2/6/2022,Midsouth,Conventional,1.296830581
PLU 4046,1304762.07,2/6/2022,Midsouth,Conventional,1.296830581
PLU 4225,529688.59,1/30/2022,Midsouth,Conventional,1.269750903
PLU 4770,12872.91,1/30/2022,Midsouth,Conventional,1.269750903
Bulk GTIN,712523.49,1/30/2022,Midsouth,Conventional,1.269750903
Bagged,1323563.49,1/30/2022,Midsouth,Conventional,1.269750903
PLU 4046,1336969.57,1/30/2022,Midsouth,Conventional,1.269750903
PLU 4225,1917351.76,2/20/2022,Northeast,Conventional,1.452032302
PLU 4770,1441.37,2/20/2022,Northeast,Conventional,1.452032302
Bulk GTIN,457721.34,2/20/2022,Northeast,Conventional,1.452032302
Bagged,1650584.02,2/20/2022,Northeast,Conventional,1.452032302
PLU 4046,1535028.96,2/20/2022,Northeast,Conventional,1.452032302
PLU 4225,2466859.49,2/13/2022,Northeast,Conventional,1.396732051
PLU 4770,1891.02,2/13/2022,Northeast,Conventional,1.396732051
Bulk GTIN,469867.73,2/13/2022,Northeast,Conventional,1.396732051
Bagged,1719796.91,2/13/2022,Northeast,Conventional,1.396732051
PLU 4046,2540594.91,2/13/2022,Northeast,Conventional,1.396732051
PLU 4225,1759535.23,2/6/2022,Northeast,Conventional,1.462482043
PLU 4770,3261.12,2/6/2022,Northeast,Conventional,1.462482043
Bulk GTIN,380361.57,2/6/2022,Northeast,Conventional,1.462482043
Bagged,1757354.73,2/6/2022,Northeast,Conventional,1.462482043
PLU 4046,1247567.29,2/6/2022,Northeast,Conventional,1.462482043
PLU 4225,2273211.58,1/30/2022,Northeast,Conventional,1.432087818
PLU 4770,1558.43,1/30/2022,Northeast,Conventional,1.432087818
Bulk GTIN,445332.46,1/30/2022,Northeast,Conventional,1.432087818
Bagged,1733288.64,1/30/2022,Northeast,Conventional,1.432087818
PLU 4046,1864080.02,1/30/2022,Northeast,Conventional,1.432087818
